127.0.0.1 - - [08/Apr/2022:13:57:18 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:57:19 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:57:19 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:57:50 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:57:50 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:58:12 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:58:51 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:58:51 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:59:26 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [08/Apr/2022:13:59:26 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:06:21 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:00 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:03 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:38 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:12:27 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:12:37 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:13:27 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:13:36 +0300] "GET /EkaKysely/nayta.jsp HTTP/1.1" 500 2608
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:14:10 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:14:56 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:21 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:21 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:21:48 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:10 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:10 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:15 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:46 +0300] "POST /EkaKysely/nayta.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:46 +0300] "GET /EkaKysely/scripts/main.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:22:51 +0300] "GET /EkaKysely/kysy.jsp HTTP/1.1" 200 744
